"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
NH,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,21,0,3,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,25,0,0,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,25,0,0,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,1,32,29,2
NJ,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,0,25,39,0
NJ,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,1,13,50,0
NJ,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,63,0,0,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,6,34,0,20,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,39,1,20,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,51,8,4,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,61,0,3,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_CABG,Rate of readmission for CABG,0,17,0,2,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,3,61,0,0,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,4,57,4,0,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,50,1,12,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),9,54,1,0,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,6,58,1,0,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,4,5,2,23
NM,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,4,26,1,8
NM,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,6,25,5,3
NM,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,27,0,5,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,11,0,14,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,11,0,14,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,19,1,9,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,12,0,23,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_CABG,Rate of readmission for CABG,0,5,0,0,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,31,0,8,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,31,1,8,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,18,0,6,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,35,3,3,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,36,1,3,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,1,13,5,12
NV,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,3,18,7,5
NV,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,2,13,13,8
NV,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,23,0,3,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,6,0,19,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,6,0,19,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,20,0,5,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,20,1,12,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_CABG,Rate of readmission for CABG,0,12,0,0,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,27,0,6,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,28,0,5,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,23,0,1,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),5,25,1,3,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,4,26,0,8,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,3,56,44,57
NY,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,3,52,96,13
NY,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,3,48,109,9
NY,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,146,1,4,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,66,1,71,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,66,4,71,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,5,116,4,23,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,109,0,59,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_CABG,Rate of readmission for CABG,1,32,0,2,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,6,149,0,10,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,20,140,0,13,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,101,1,38,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),31,127,1,4,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,24,145,0,9,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,7,57,18,64
OH,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,17,109,17,8
OH,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,27,90,30,6
OH,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",1,147,0,6,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,69,0,74,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,70,1,74,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,8,124,5,20,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,84,0,65,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_CABG,Rate of readmission for CABG,0,47,1,10,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,144,0,8,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,142,3,8,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,133,2,14,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),3,150,5,5,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,4,145,2,6,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,5,24,2,55
OK,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,13,55,11,39
OK,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,15,78,12,14
OK,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,80,0,10,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,21,0,49,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,2,20,0,49,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,55,3,26,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,32,0,55,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_CABG,Rate of readmission for CABG,0,14,0,4,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,87,0,31,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,3,75,3,39,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,49,0,11,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,115,1,6,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,106,0,14,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,4,17,0,35
OR,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,11,37,1,10
OR,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,15,37,3,4
OR,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,45,0,4,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,24,0,26,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,24,0,26,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,31,1,18,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,21,1,35,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_CABG,Rate of readmission for CABG,0,10,0,4,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,51,0,8,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,49,2,10,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,40,1,7,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,53,6,0,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,55,2,4,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,8,75,18,51
PA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,17,109,24,5
PA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,15,97,40,3
PA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",2,148,0,6,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,84,1,58,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,83,4,58,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,5,128,12,15,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,105,0,53,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_CABG,Rate of readmission for CABG,0,52,1,6,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,147,0,7,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,4,145,7,6,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,3,125,1,22,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),7,148,5,5,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,3,153,2,3,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,0,6,2,37
PR,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,0,3,19,24
PR,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,0,7,17,24
PR,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,12,0,22,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,1,0,17,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,1,0,17,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,8,0,35,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,8,0,37,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_CABG,Rate of readmission for CABG,0,1,0,8,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,10,0,36,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,22,0,24,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,5,0,27,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,46,0,3,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,2,23,0,24,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,1,6,2,1
RI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,0,6,4,0
RI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,2,7,1,1
RI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,11,0,0,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,7,0,3,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,6,1,3,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,10,0,0,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,10,0,1,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_CABG,Rate of readmission for CABG,0,1,0,0,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,10,0,0,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,11,0,0,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,9,0,1,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,11,0,0,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,10,1,1,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,3,18,8,27
SC,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,3,38,12,7
SC,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,2,35,20,4
SC,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,55,0,1,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,19,0,19,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,19,1,19,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,40,7,5,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,29,0,28,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_CABG,Rate of readmission for CABG,0,16,1,0,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,52,1,7,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,52,3,7,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,2,38,2,11,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,49,6,1,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,57,1,4,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,2,6,0,28
SD,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,5,17,0,31
SD,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,10,29,2,13
