"Facility Name","Facility ID","State","Fiscal Year","PSI-90 Start Date","PSI-90 End Date","PSI-90 W Z Score","PSI-90 Footnote","CLABSI W Z Score","CLABSI Footnote","CAUTI W Z Score","CAUTI Footnote","SSI W Z Score","SSI Footnote","MRSA W Z Score","MRSA Footnote","CDI W Z Score","CDI Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Footnote","Payment Reduction","Payment Reduction Footnote"
AIKEN REGIONAL MEDICAL CENTER,420082,SC,2020,07/01/2016,06/30/2018,-0.0855,,0.2328,,0.5378,,-0.6213,,-0.6382,,0.1169,,01/01/2017,12/31/2018,-0.0763,,No,
GRAND STRAND REGIONAL MEDICAL CENTER,420085,SC,2020,07/01/2016,06/30/2018,-1.5258,,0.2647,,-0.0874,,0.0603,,-0.1816,,-0.5563,,01/01/2017,12/31/2018,-0.3377,,No,
PRISMA HEALTH BAPTIST,420086,SC,2020,07/01/2016,06/30/2018,0.0370,,1.7565,,0.9882,,0.4545,,1.4219,,0.3002,,01/01/2017,12/31/2018,0.8264,,Yes,
ROPER HOSPITAL,420087,SC,2020,07/01/2016,06/30/2018,-1.5258,,-0.1928,,1.7521,,-0.0373,,0.1812,,1.5533,,01/01/2017,12/31/2018,0.2884,,No,
EAST COOPER MEDICAL CENTER,420089,SC,2020,07/01/2016,06/30/2018,0.6666,,-1.4459,,0.7241,,-0.1773,,-1.4453,,-0.1115,,01/01/2017,12/31/2018,-0.2982,,No,
MUSC HEALTH FLORENCE MEDICAL CENTER,420091,SC,2020,07/01/2016,06/30/2018,0.8494,,-0.3241,,1.4975,,-0.5918,,0.8379,,-1.1182,,01/01/2017,12/31/2018,0.1918,,No,
TIDELANDS WACCAMAW COMMUNITY HOSPITAL,420098,SC,2020,07/01/2016,06/30/2018,-1.4797,,0.3780,,-0.9596,,-0.6876,,0.9175,,1.9710,,01/01/2017,12/31/2018,0.0233,,No,
COASTAL CAROLINA HOSPITAL,420101,SC,2020,07/01/2016,06/30/2018,-0.4739,,N/A,5,1.1345,,1.6722,,N/A,5,-0.3700,,01/01/2017,12/31/2018,0.4907,,Yes,
PRISMA HEALTH  PATEWOOD HOSPITAL,420102,SC,2020,07/01/2016,06/30/2018,-1.0981,,N/A,5,-1.5354,,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,-1.5320,,No,
PELHAM MEDICAL CENTER,420103,SC,2020,07/01/2016,06/30/2018,1.7645,,N/A,5,2.1797,,-1.5000,,N/A,5,1.9710,,01/01/2017,12/31/2018,1.1038,,Yes,
MOUNT PLEASANT HOSPITAL,420104,SC,2020,07/01/2016,06/30/2018,0.2502,,N/A,5,2.1854,,-0.5605,,N/A,5,1.0424,,01/01/2017,12/31/2018,0.7294,,Yes,
MCLEOD LORIS  HOSPITAL,420105,SC,2020,07/01/2016,06/30/2018,-0.0405,,-0.7338,,1.7540,,0.3016,,-0.6506,,1.9710,,01/01/2017,12/31/2018,0.4336,,Yes,
PRISMA HEALTH BAPTIST PARKRIDGE,420106,SC,2020,07/01/2016,06/30/2018,-0.7445,,1.3467,,0.8381,,1.3333,,-0.2949,,0.3242,,01/01/2017,12/31/2018,0.4671,,Yes,
MCLEOD HEALTH CHERAW,420107,SC,2020,07/01/2016,06/30/2018,-0.3993,,-1.4459,,1.3455,,-1.5000,,N/A,5,0.5135,,01/01/2017,12/31/2018,-0.2973,,No,
UNION MEDICAL CENTER,420108,SC,2020,07/01/2016,06/30/2018,-0.0218,,N/A,5,N/A,5,N/A,5,N/A,5,1.0274,,01/01/2017,12/31/2018,0.5028,,Yes,
MCLEOD HEALTH CLARENDON,420109,SC,2020,07/01/2016,06/30/2018,0.5892,,N/A,5,-1.5354,,-1.5000,,N/A,5,-0.8478,,01/01/2017,12/31/2018,-0.8235,,No,
PRAIRIE LAKES HOSPITAL,430005,SD,2020,07/01/2016,06/30/2018,-0.0044,,N/A,5,0.9027,,1.6096,,N/A,5,-1.4698,,01/01/2017,12/31/2018,0.2595,,No,
BROOKINGS HEALTH SYSTEM,430008,SD,2020,07/01/2016,06/30/2018,0.9073,,N/A,5,N/A,5,N/A,5,N/A,5,0.7990,,01/01/2017,12/31/2018,0.8532,,Yes,
AVERA SACRED HEART HOSPITAL,430012,SD,2020,07/01/2016,06/30/2018,-1.4196,,0.1592,,-0.8228,,-1.5000,,-1.4453,,-0.8387,,01/01/2017,12/31/2018,-0.9779,,No,
AVERA QUEEN OF PEACE,430013,SD,2020,07/01/2016,06/30/2018,-0.9961,,N/A,5,-1.5354,,-0.3929,,N/A,5,-0.7696,,01/01/2017,12/31/2018,-0.9235,,No,
AVERA ST LUKES,430014,SD,2020,07/01/2016,06/30/2018,-0.5347,,-1.4459,,1.2980,,-0.0631,,0.1299,,-0.5773,,01/01/2017,12/31/2018,-0.1989,,No,
AVERA ST MARY'S HOSPITAL,430015,SD,2020,07/01/2016,06/30/2018,-0.3139,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6591,,01/01/2017,12/31/2018,-0.9865,,No,
AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,430016,SD,2020,07/01/2016,06/30/2018,1.2533,,-0.3181,,-0.2394,,1.7699,,-0.2524,,-0.3970,,01/01/2017,12/31/2018,0.3027,,No,
SANFORD USD MEDICAL CENTER,430027,SD,2020,07/01/2016,06/30/2018,-1.1491,,-0.0397,,0.7146,,0.6093,,-0.2860,,0.3212,,01/01/2017,12/31/2018,0.0284,,No,
REGIONAL HEALTH SPEARFISH HOSPITAL,430048,SD,2020,07/01/2016,06/30/2018,-0.3432,,N/A,5,N/A,5,-1.5000,,N/A,5,0.0057,,01/01/2017,12/31/2018,-0.6125,,No,
REGIONAL HEALTH RAPID CITY HOSPITAL,430077,SD,2020,07/01/2016,06/30/2018,0.6453,,0.3582,,-0.0227,,1.3204,,-0.2789,,0.0928,,01/01/2017,12/31/2018,0.3525,,Yes,
PHS INDIAN HOSPITAL AT EAGLE BUTTE,430083,SD,2020,07/01/2016,06/30/2018,0.0711,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,0.0711,,No,
PHS INDIAN HOSPITAL AT ROSEBUD,430084,SD,2020,07/01/2016,06/30/2018,0.0325,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,0.0325,,No,
DUNES SURGICAL HOSPITAL,430089,SD,2020,07/01/2016,06/30/2018,-1.1853,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-1.1853,,No,
SIOUX FALLS SPECIALTY HOSPITAL LLP,430090,SD,2020,07/01/2016,06/30/2018,-1.5258,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-1.5258,,No,
BLACK HILLS SURGICAL HOSPITAL LLP,430091,SD,2020,07/01/2016,06/30/2018,-1.5258,,N/A,5,N/A,5,-1.5000,,N/A,5,-1.9626,,01/01/2017,12/31/2018,-1.6628,,No,
SAME DAY SURGERY CENTER LLC,430093,SD,2020,07/01/2016,06/30/2018,-0.0788,,N/A,5,N/A,5,-0.5992,,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.3390,,No,
AVERA HEART HOSPITAL OF SOUTH DAKOTA,430095,SD,2020,07/01/2016,06/30/2018,-0.5140,,-0.1948,,0.4447,,N/A,5,N/A,5,-0.5232,,01/01/2017,12/31/2018,-0.1968,,No,
SANFORD ABERDEEN MEDICAL CENTER,430097,SD,2020,07/01/2016,06/30/2018,0.6420,,N/A,5,N/A,5,N/A,5,N/A,5,1.9650,,01/01/2017,12/31/2018,1.3035,,Yes,
UNICOI COUNTY  HOSPITAL,440001,TN,2020,07/01/2016,06/30/2018,-0.0079,,N/A,5,N/A,5,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,-0.9853,,No,
JACKSON-MADISON COUNTY GENERAL HOSPITAL,440002,TN,2020,07/01/2016,06/30/2018,1.8708,,0.6665,,-0.1520,,0.1137,,0.5458,,0.6818,,01/01/2017,12/31/2018,0.6211,,Yes,
SUMNER REGIONAL MEDICAL CENTER,440003,TN,2020,07/01/2016,06/30/2018,-1.0235,,-1.0342,,0.6462,,-0.3210,,1.5299,,0.2581,,01/01/2017,12/31/2018,0.0092,,No,
TRISTAR SKYLINE MEDICAL CENTER,440006,TN,2020,07/01/2016,06/30/2018,-1.2094,,-0.4375,,1.2771,,1.1767,,0.3600,,-0.0995,,01/01/2017,12/31/2018,0.1779,,No,
UNITY MEDICAL CENTER,440007,TN,2020,07/01/2016,06/30/2018,-0.3597,,N/A,5,N/A,5,N/A,5,N/A,5,1.9710,,01/01/2017,12/31/2018,0.8056,,Yes,
HENDERSON COUNTY COMMUNITY HOSPITAL,440008,TN,2020,07/01/2016,06/30/2018,0.0114,,N/A,5,N/A,5,N/A,5,N/A,5,0.3993,,01/01/2017,12/31/2018,0.2054,,No,
CUMBERLAND MEDICAL CENTER,440009,TN,2020,07/01/2016,06/30/2018,0.1501,,-0.0954,,-1.2294,,-1.5000,,-0.5391,,-0.8267,,01/01/2017,12/31/2018,-0.6734,,No,
WAYNE MEDICAL CENTER,440010,TN,2020,07/01/2016,06/30/2018,-0.0138,,N/A,5,N/A,5,N/A,5,N/A,5,1.0184,,01/01/2017,12/31/2018,0.5023,,Yes,
BLOUNT MEMORIAL HOSPITAL,440011,TN,2020,07/01/2016,06/30/2018,1.3821,,0.4158,,0.3326,,-1.5000,,2.2502,,1.1386,,01/01/2017,12/31/2018,0.6699,,Yes,
BRISTOL REGIONAL MEDICAL CENTER,440012,TN,2020,07/01/2016,06/30/2018,2.3575,,-0.3539,,0.0096,,-0.8884,,0.8839,,1.2377,,01/01/2017,12/31/2018,0.5411,,Yes,
UNIVERSITY OF TN MEDICAL CENTER (THE),440015,TN,2020,07/01/2016,06/30/2018,-0.9024,,-0.5688,,-0.4864,,0.2316,,-0.0506,,0.5045,,01/01/2017,12/31/2018,-0.2120,,No,
BAPTIST MEMORIAL HOSPITAL - CARROLL COUNTY,440016,TN,2020,07/01/2016,06/30/2018,0.2405,,N/A,5,N/A,5,N/A,5,N/A,5,-1.5660,,01/01/2017,12/31/2018,-0.6627,,No,
HOLSTON VALLEY MEDICAL CENTER,440017,TN,2020,07/01/2016,06/30/2018,2.3575,,-0.6662,,-1.1211,,-0.4113,,-0.5958,,1.4962,,01/01/2017,12/31/2018,0.1765,,No,
SYCAMORE SHOALS HOSPITAL,440018,TN,2020,07/01/2016,06/30/2018,0.1430,,0.1294,,-0.9349,,1.4954,,2.2502,,0.7990,,01/01/2017,12/31/2018,0.6470,,Yes,
SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI,440020,TN,2020,07/01/2016,06/30/2018,-0.3249,,N/A,5,-1.5354,,N/A,5,N/A,5,-1.1783,,01/01/2017,12/31/2018,-1.0129,,No,
WILLIAMSON MEDICAL CENTER,440029,TN,2020,07/01/2016,06/30/2018,-0.2705,,-0.6702,,-0.6555,,-0.8037,,-0.8241,,-0.5533,,01/01/2017,12/31/2018,-0.6295,,No,
MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION,440030,TN,2020,07/01/2016,06/30/2018,0.4782,,-1.4459,,-1.5354,,-1.5000,,-1.4453,,-1.7042,,01/01/2017,12/31/2018,-1.1921,,No,
ROANE MEDICAL CENTER,440031,TN,2020,07/01/2016,06/30/2018,1.7531,,-1.4459,,-1.5354,,-0.5347,,N/A,5,-1.5690,,01/01/2017,12/31/2018,-0.6664,,No,
HAWKINS COUNTY MEMORIAL HOSPITAL,440032,TN,2020,07/01/2016,06/30/2018,-0.0611,,N/A,5,N/A,5,N/A,5,N/A,5,0.7509,,01/01/2017,12/31/2018,0.3449,,Yes,
TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER,440033,TN,2020,07/01/2016,06/30/2018,-0.4677,,N/A,5,-1.5354,,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,-1.3219,,No,
METHODIST MEDICAL CENTER OF OAK RIDGE,440034,TN,2020,07/01/2016,06/30/2018,2.3575,,-1.0799,,-0.7810,,0.8045,,-0.3108,,-1.0822,,01/01/2017,12/31/2018,-0.0153,,No,
TENNOVA HEALTHCARE-CLARKSVILLE,440035,TN,2020,07/01/2016,06/30/2018,-1.0039,,0.7838,,0.3972,,0.7088,,1.0396,,-0.4601,,01/01/2017,12/31/2018,0.2442,,No,
VANDERBILT UNIVERSITY MEDICAL CENTER,440039,TN,2020,07/01/2016,06/30/2018,0.7495,,-0.0337,,-0.2470,,-0.3910,,0.5671,,-0.1205,,01/01/2017,12/31/2018,0.0874,,No,
PERRY COMMUNITY HOSPITAL,440040,TN,2020,07/01/2016,06/30/2018,-0.0492,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.0492,,No,
TRISTAR HORIZON MEDICAL CENTER,440046,TN,2020,07/01/2016,06/30/2018,-0.6872,,-1.4459,,0.2205,,-1.5000,,0.8998,,-0.4331,,01/01/2017,12/31/2018,-0.4910,,No,
BAPTIST MEMORIAL HOSPITAL,440048,TN,2020,07/01/2016,06/30/2018,2.3575,,0.0777,,-0.3914,,0.2243,,0.0733,,1.1596,,01/01/2017,12/31/2018,0.5835,,Yes,
METHODIST HEALTHCARE MEMPHIS HOSPITALS,440049,TN,2020,07/01/2016,06/30/2018,1.6868,,-0.0397,,-0.9159,,-0.3394,,0.8715,,-0.1085,,01/01/2017,12/31/2018,0.1925,,No,
GREENEVILLE COMMUNITY HOSPITAL,440050,TN,2020,07/01/2016,06/30/2018,0.1966,,1.0484,,-1.5354,,-0.9289,,N/A,5,-0.3279,,01/01/2017,12/31/2018,-0.3094,,No,
SAINT THOMAS RUTHERFORD HOSPITAL,440053,TN,2020,07/01/2016,06/30/2018,0.6327,,-0.1550,,-0.5434,,-0.8110,,0.1989,,-0.2918,,01/01/2017,12/31/2018,-0.1616,,No,
TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL,440056,TN,2020,07/01/2016,06/30/2018,-0.0815,,N/A,5,-0.4997,,-1.5000,,-0.2878,,-1.8184,,01/01/2017,12/31/2018,-0.8375,,No,
CLAIBORNE MEDICAL CENTER,440057,TN,2020,07/01/2016,06/30/2018,-0.3143,,N/A,5,N/A,5,-1.5000,,N/A,5,-1.9626,,01/01/2017,12/31/2018,-1.2590,,No,
SOUTHERN TENNESSEE REGIONAL HLTH SYSTEM WINCHESTER,440058,TN,2020,07/01/2016,06/30/2018,-0.5830,,N/A,5,1.4728,,-1.5000,,-1.4453,,-0.4811,,01/01/2017,12/31/2018,-0.5073,,No,
COOKEVILLE REGIONAL MEDICAL CENTER,440059,TN,2020,07/01/2016,06/30/2018,-1.5258,,-0.0476,,-1.0926,,-1.5000,,1.3246,,1.5743,,01/01/2017,12/31/2018,-0.2112,,No,
MILAN GENERAL HOSPITAL,440060,TN,2020,07/01/2016,06/30/2018,-0.2157,,N/A,5,N/A,5,-1.5000,,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.8579,,No,
WEST TENNESSEE HEALTHCARE VOLUNTEER HOSPITAL,440061,TN,2020,07/01/2016,06/30/2018,-0.3296,,N/A,5,-1.5354,,N/A,5,N/A,5,-0.8177,,01/01/2017,12/31/2018,-0.8942,,No,
JOHNSON CITY MEDICAL CENTER,440063,TN,2020,07/01/2016,06/30/2018,0.8306,,0.5909,,1.1992,,0.6332,,0.6980,,-0.2678,,01/01/2017,12/31/2018,0.6140,,Yes,
NORTHCREST MEDICAL CENTER,440065,TN,2020,07/01/2016,06/30/2018,2.3575,,0.4596,,-0.9368,,-0.7521,,1.7759,,0.2040,,01/01/2017,12/31/2018,0.5180,,Yes,
STARR REGIONAL MEDICAL CENTER ATHENS,440068,TN,2020,07/01/2016,06/30/2018,-0.6526,,N/A,5,-1.5354,,-1.5000,,N/A,5,-1.6862,,01/01/2017,12/31/2018,-1.3435,,No,
DECATUR COUNTY GENERAL HOSPITAL,440070,TN,2020,07/01/2016,06/30/2018,0.0019,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,0.0019,,No,
WEST TENNESSEE HEALTHCARE DYERSBURG HOSPITAL,440072,TN,2020,07/01/2016,06/30/2018,-0.1825,,-1.4459,,-1.3206,,1.3075,,0.0697,,-0.6434,,01/01/2017,12/31/2018,-0.3692,,No,
MAURY REGIONAL HOSPITAL,440073,TN,2020,07/01/2016,06/30/2018,-1.0484,,-0.7637,,-0.3724,,-0.7097,,-1.0949,,0.1108,,01/01/2017,12/31/2018,-0.6464,,No,
LECONTE MEDICAL CENTER,440081,TN,2020,07/01/2016,06/30/2018,0.4787,,0.7122,,1.7578,,-0.8663,,0.7476,,0.1409,,01/01/2017,12/31/2018,0.4951,,Yes,
SAINT THOMAS WEST HOSPITAL,440082,TN,2020,07/01/2016,06/30/2018,-1.0957,,-0.3997,,0.2338,,0.3698,,0.7423,,-0.5653,,01/01/2017,12/31/2018,-0.1191,,No,
SWEETWATER HOSPITAL ASSOCIATION,440084,TN,2020,07/01/2016,06/30/2018,-0.4002,,N/A,5,-1.5354,,0.9132,,0.2520,,0.5676,,01/01/2017,12/31/2018,-0.0406,,No,
"MEMORIAL HEALTHCARE SYSTEM, INC",440091,TN,2020,07/01/2016,06/30/2018,0.4700,,0.2209,,0.6310,,0.2224,,0.1618,,0.1199,,01/01/2017,12/31/2018,0.3043,,No,
LINCOLN MEDICAL CENTER,440102,TN,2020,07/01/2016,06/30/2018,-0.3715,,N/A,5,N/A,5,N/A,5,N/A,5,0.0598,,01/01/2017,12/31/2018,-0.1559,,No,
ERLANGER MEDICAL CENTER,440104,TN,2020,07/01/2016,06/30/2018,0.3145,,-0.4554,,0.1635,,0.5890,,0.7954,,0.1830,,01/01/2017,12/31/2018,0.2650,,No,
HARDIN MEDICAL CENTER,440109,TN,2020,07/01/2016,06/30/2018,-0.1654,,N/A,5,N/A,5,N/A,5,N/A,5,1.9529,,01/01/2017,12/31/2018,0.8938,,Yes,
FORT LOUDON MEDICAL CENTER,440110,TN,2020,07/01/2016,06/30/2018,1.5867,,-1.4459,,-1.5354,,-1.5000,,N/A,5,-0.6374,,01/01/2017,12/31/2018,-0.7064,,No,
METRO NASHVILLE GENERAL HOSPITAL,440111,TN,2020,07/01/2016,06/30/2018,0.0303,,0.7858,,-1.5354,,2.0996,,1.9617,,-1.4037,,01/01/2017,12/31/2018,0.3231,,No,
TENNOVA HEALTHCARE-NORTH KNOXVILLE MEDICAL CENTER,440120,TN,2020,07/01/2016,06/30/2018,-0.8758,,1.6471,,0.6823,,-1.1021,,2.2502,,-0.6044,,01/01/2017,12/31/2018,0.3329,,Yes,
FORT SANDERS REGIONAL MEDICAL CENTER,440125,TN,2020,07/01/2016,06/30/2018,2.3575,,0.9469,,-0.1672,,-0.3008,,-0.2365,,-1.3797,,01/01/2017,12/31/2018,0.2034,,No,
BAPTIST MEMORIAL HOSPITAL UNION CITY,440130,TN,2020,07/01/2016,06/30/2018,-0.3681,,N/A,5,1.3341,,N/A,5,N/A,5,-1.3706,,01/01/2017,12/31/2018,-0.1349,,No,
BAPTIST MEMORIAL HOSPITAL TIPTON,440131,TN,2020,07/01/2016,06/30/2018,-0.0639,,N/A,5,N/A,5,N/A,5,N/A,5,-0.3790,,01/01/2017,12/31/2018,-0.2214,,No,
HENRY COUNTY MEDICAL CENTER,440132,TN,2020,07/01/2016,06/30/2018,0.4444,,0.5252,,-1.5354,,-1.5000,,N/A,5,-0.6915,,01/01/2017,12/31/2018,-0.5515,,No,
SAINT THOMAS MIDTOWN HOSPITAL,440133,TN,2020,07/01/2016,06/30/2018,0.5687,,-0.5250,,-0.4788,,-0.0281,,-0.2630,,-1.1032,,01/01/2017,12/31/2018,-0.3049,,No,
TENNOVA HEALTHCARE-SHELBYVILLE,440137,TN,2020,07/01/2016,06/30/2018,-0.5891,,-1.4459,,-1.5354,,N/A,5,N/A,5,0.6518,,01/01/2017,12/31/2018,-0.7297,,No,
TENNOVA HEALTHCARE-HARTON,440144,TN,2020,07/01/2016,06/30/2018,1.1163,,-0.5071,,2.1854,,-0.6121,,2.2502,,-1.2024,,01/01/2017,12/31/2018,0.5384,,Yes,
SAINT THOMAS DEKALB HOSPITAL,440148,TN,2020,07/01/2016,06/30/2018,-0.0426,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.0426,,No,
TRISTAR SUMMIT MEDICAL CENTER,440150,TN,2020,07/01/2016,06/30/2018,-0.7429,,0.7440,,-0.3040,,-0.0060,,0.3511,,-0.5743,,01/01/2017,12/31/2018,-0.0887,,No,
SAINT THOMAS RIVER PARK HOSPITAL,440151,TN,2020,07/01/2016,06/30/2018,0.0119,,N/A,5,-1.5354,,N/A,5,N/A,5,-0.6134,,01/01/2017,12/31/2018,-0.7123,,No,
REGIONAL ONE HEALTH,440152,TN,2020,07/01/2016,06/30/2018,2.3575,,1.0344,,0.7526,,0.8709,,2.2502,,0.7539,,01/01/2017,12/31/2018,1.3366,,Yes,
TENNOVA HEALTHCARE-NEWPORT MEDICAL CENTER,440153,TN,2020,07/01/2016,06/30/2018,-0.2365,,N/A,5,-0.4769,,N/A,5,N/A,5,-0.2227,,01/01/2017,12/31/2018,-0.3120,,No,
PARKRIDGE MEDICAL CENTER,440156,TN,2020,07/01/2016,06/30/2018,-0.2603,,1.0106,,1.7464,,-0.1405,,1.1794,,-0.8267,,01/01/2017,12/31/2018,0.4515,,Yes,
DELTA MEDICAL CENTER,440159,TN,2020,07/01/2016,06/30/2018,0.0549,,N/A,5,N/A,5,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,-0.9539,,No,
TRISTAR CENTENNIAL MEDICAL CENTER,440161,TN,2020,07/01/2016,06/30/2018,-1.5258,,0.4457,,-0.2337,,0.6866,,0.3795,,0.5165,,01/01/2017,12/31/2018,0.0448,,No,
PARKWEST MEDICAL CENTER,440173,TN,2020,07/01/2016,06/30/2018,0.3510,,1.1299,,0.2623,,-0.6452,,0.5352,,-1.2474,,01/01/2017,12/31/2018,0.0643,,No,
SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCE,440175,TN,2020,07/01/2016,06/30/2018,-0.5733,,N/A,5,-0.5301,,N/A,5,N/A,5,-0.4180,,01/01/2017,12/31/2018,-0.5071,,No,
INDIAN PATH COMMUNITY HOSPITAL,440176,TN,2020,07/01/2016,06/30/2018,1.1198,,-1.4459,,-1.1097,,-0.3818,,-0.5657,,1.9710,,01/01/2017,12/31/2018,-0.0687,,No,
"JELLICO MEDICAL CENTER, INC",440180,TN,2020,07/01/2016,06/30/2018,0.0357,,N/A,5,N/A,5,N/A,5,N/A,5,-1.1693,,01/01/2017,12/31/2018,-0.5668,,No,
ST FRANCIS HOSPITAL,440183,TN,2020,07/01/2016,06/30/2018,-0.4663,,-0.2565,,-0.6916,,-1.0911,,1.1865,,0.5947,,01/01/2017,12/31/2018,-0.1207,,No,
FRANKLIN WOODS COMMUNITY HOSPITAL,440184,TN,2020,07/01/2016,06/30/2018,-0.0578,,1.3984,,0.0742,,1.1435,,0.3671,,-0.2828,,01/01/2017,12/31/2018,0.4404,,Yes,
TENNOVA HEALTHCARE-CLEVELAND,440185,TN,2020,07/01/2016,06/30/2018,1.9038,,2.1941,,0.3934,,-0.6655,,0.1228,,0.1679,,01/01/2017,12/31/2018,0.6861,,Yes,
LIVINGSTON REGIONAL HOSPITAL,440187,TN,2020,07/01/2016,06/30/2018,-0.4055,,N/A,5,2.1854,,N/A,5,N/A,5,0.4564,,01/01/2017,12/31/2018,0.7454,,Yes,
SAINT THOMAS HIGHLANDS HOSPITAL,440192,TN,2020,07/01/2016,06/30/2018,-0.3568,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.3568,,No,
TENNOVA HEALTHCARE-LEBANON,440193,TN,2020,07/01/2016,06/30/2018,0.5265,,0.6625,,-0.3477,,-0.3929,,-0.4506,,0.8230,,01/01/2017,12/31/2018,0.1368,,No,
TRISTAR HENDERSONVILLE MEDICAL CENTER,440194,TN,2020,07/01/2016,06/30/2018,-1.2006,,1.7982,,-0.1444,,2.0996,,-0.7568,,0.5556,,01/01/2017,12/31/2018,0.3919,,Yes,
TRISTAR SOUTHERN HILLS MEDICAL CENTER,440197,TN,2020,07/01/2016,06/30/2018,-0.6427,,-0.7100,,0.1331,,-0.7374,,0.1989,,0.0958,,01/01/2017,12/31/2018,-0.2770,,No,
SAINT THOMAS STONES RIVER HOSPITAL,440200,TN,2020,07/01/2016,06/30/2018,-0.0058,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.0058,,No,
SAINT THOMAS HOSPITAL FOR SPECIALTY SURGERY,440218,TN,2020,07/01/2016,06/30/2018,-1.5258,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-1.5258,,No,
TRISTAR STONECREST MEDICAL CENTER,440227,TN,2020,07/01/2016,06/30/2018,0.0104,,-0.8611,,-0.5073,,0.8322,,0.8892,,0.0237,,01/01/2017,12/31/2018,0.0645,,No,
SAINT FRANCIS BARTLETT MEDICAL CENTER,440228,TN,2020,07/01/2016,06/30/2018,-0.9880,,-0.5946,,-0.3078,,-0.3818,,0.6803,,0.3753,,01/01/2017,12/31/2018,-0.2028,,No,
TRUSTPOINT HOSPITAL,440231,TN,2020,07/01/2016,06/30/2018,0.0701,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,0.0701,,No,
BIG SOUTH FORK MEDICAL CENTER,440235,TN,2020,07/01/2016,06/30/2018,N/A,5,N/A,5,N/A,5,2.0996,18,N/A,5,N/A,5,01/01/2017,12/31/2018,2.0996,18,Yes,
THE HOSPITALS OF PROVIDENCE MEMORIAL CAMPUS,450002,TX,2020,07/01/2016,06/30/2018,0.4778,,0.4457,,0.2471,,0.2353,,-1.1515,,0.5496,,01/01/2017,12/31/2018,0.1340,,No,
PETERSON REGIONAL MEDICAL CENTER,450007,TX,2020,07/01/2016,06/30/2018,2.2247,,-0.5469,,-0.9349,,0.9372,,-1.4453,,0.8591,,01/01/2017,12/31/2018,0.1823,,No,
UNITED REGIONAL HEALTH CARE SYSTEM,450010,TX,2020,07/01/2016,06/30/2018,-1.1613,,-0.8611,,-0.9159,,-0.6618,,0.0538,,0.6788,,01/01/2017,12/31/2018,-0.4779,,No,
ST JOSEPH REGIONAL HEALTH CENTER,450011,TX,2020,07/01/2016,06/30/2018,-0.9397,,0.1752,,-1.1325,,-0.5863,,0.2697,,-0.0304,,01/01/2017,12/31/2018,-0.3740,,No,
PARKLAND HEALTH AND HOSPITAL SYSTEM,450015,TX,2020,07/01/2016,06/30/2018,2.3575,,0.1712,,-0.1368,,-0.7263,,0.9794,,0.4414,,01/01/2017,12/31/2018,0.5144,,Yes,
UNIVERSITY OF TEXAS MEDICAL BRANCH,450018,TX,2020,07/01/2016,06/30/2018,-1.0584,,0.4815,,-0.3553,,0.2961,,1.0290,,-0.5623,,01/01/2017,12/31/2018,-0.0282,,No,
BAYLOR UNIVERSITY MEDICAL CENTER,450021,TX,2020,07/01/2016,06/30/2018,-0.9042,,0.6764,,-0.9273,,0.2427,,-0.1320,,-0.6675,,01/01/2017,12/31/2018,-0.2853,,No,
CITIZENS MEDICAL CENTER,450023,TX,2020,07/01/2016,06/30/2018,-0.7387,,1.1419,,-1.2142,,-0.4205,,2.2502,,1.5833,,01/01/2017,12/31/2018,0.4337,,Yes,
